03-10-2015 16-21-05
Fiber utilization

Fiber	Requests	SimTime	Utilization(%)
9 11	1000	101.07145967095872	0.42	0.42
3 13	1000	101.07145967095872	0.45	0.45
12 3	1000	101.07145967095872	0.695	0.695
8 3	1000	101.07145967095872	0.335	0.335
3 12	1000	101.07145967095872	0.41	0.41
3 8	1000	101.07145967095872	0.335	0.335
14 2	1000	101.07145967095872	0.29	0.29
12 2	1000	101.07145967095872	0.5	0.5
2 14	1000	101.07145967095872	0.245	0.245
9 4	1000	101.07145967095872	0.325	0.325
13 3	1000	101.07145967095872	0.41	0.41
4 9	1000	101.07145967095872	0.56	0.56
4 12	1000	101.07145967095872	0.54	0.54
10 4	1000	101.07145967095872	0.215	0.215
4 10	1000	101.07145967095872	0.16	0.16
9 7	1000	101.07145967095872	0.44	0.44
7 10	1000	101.07145967095872	0.285	0.285
10 7	1000	101.07145967095872	0.13	0.13
7 13	1000	101.07145967095872	0.415	0.415
6 14	1000	101.07145967095872	0.435	0.435
11 6	1000	101.07145967095872	0.59	0.59
7 9	1000	101.07145967095872	0.37	0.37
14 6	1000	101.07145967095872	0.545	0.545
6 8	1000	101.07145967095872	0.385	0.385
12 5	1000	101.07145967095872	0.2	0.2
12 4	1000	101.07145967095872	0.57	0.57
8 6	1000	101.07145967095872	0.46	0.46
6 11	1000	101.07145967095872	0.73	0.73
5 11	1000	101.07145967095872	0.445	0.445
11 5	1000	101.07145967095872	0.305	0.305
5 12	1000	101.07145967095872	0.375	0.375
13 7	1000	101.07145967095872	0.635	0.635
10 11	1000	120.54766050660383	0.32	0.32
11 9	1000	120.54766050660383	0.415	0.415
2 12	1000	120.54766050660383	0.54	0.54
14 1	1000	120.54766050660383	0.36	0.36
13 1	1000	120.54766050660383	0.4	0.4
1 14	1000	120.54766050660383	0.19	0.19
11 10	1000	120.54766050660383	0.195	0.195
1 13	1000	120.54766050660383	0.435	0.435
2 1	1000	120.54766050660383	0.33	0.33
1 2	1000	120.54766050660383	0.33	0.33
9 11	1000	120.54766050660383	0.43	0.43
3 13	1000	120.54766050660383	0.57	0.57
12 3	1000	120.54766050660383	0.45	0.45
8 3	1000	120.54766050660383	0.35	0.35
3 12	1000	120.54766050660383	0.265	0.265
3 8	1000	120.54766050660383	0.17	0.17
14 2	1000	120.54766050660383	0.15	0.15
12 2	1000	120.54766050660383	0.66	0.66
2 14	1000	120.54766050660383	0.25	0.25
9 4	1000	120.54766050660383	0.16	0.16
13 3	1000	120.54766050660383	0.295	0.295
4 9	1000	120.54766050660383	0.475	0.475
4 12	1000	120.54766050660383	0.53	0.53
10 4	1000	120.54766050660383	0.325	0.325
4 10	1000	120.54766050660383	0.21	0.21
9 7	1000	120.54766050660383	0.5	0.5
7 10	1000	120.54766050660383	0.2	0.2
10 7	1000	120.54766050660383	0.12	0.12
7 13	1000	120.54766050660383	0.585	0.585
6 14	1000	120.54766050660383	0.39	0.39
11 6	1000	120.54766050660383	0.665	0.665
7 9	1000	120.54766050660383	0.33	0.33
14 6	1000	120.54766050660383	0.385	0.385
6 8	1000	120.54766050660383	0.5	0.5
12 5	1000	120.54766050660383	0.21	0.21
12 4	1000	120.54766050660383	0.52	0.52
8 6	1000	120.54766050660383	0.395	0.395
6 11	1000	120.54766050660383	0.505	0.505
5 11	1000	120.54766050660383	0.33	0.33
11 5	1000	120.54766050660383	0.4	0.4
5 12	1000	120.54766050660383	0.4	0.4
13 7	1000	120.54766050660383	0.59	0.59
10 11	1000	140.03747034650897	0.25	0.25
11 9	1000	140.03747034650897	0.32	0.32
2 12	1000	140.03747034650897	0.36	0.36
14 1	1000	140.03747034650897	0.35	0.35
13 1	1000	140.03747034650897	0.32	0.32
1 14	1000	140.03747034650897	0.28	0.28
11 10	1000	140.03747034650897	0.19	0.19
1 13	1000	140.03747034650897	0.46	0.46
2 1	1000	140.03747034650897	0.29	0.29
1 2	1000	140.03747034650897	0.25	0.25
9 11	1000	140.03747034650897	0.46	0.46
3 13	1000	140.03747034650897	0.6	0.6
12 3	1000	140.03747034650897	0.37	0.37
8 3	1000	140.03747034650897	0.54	0.54
3 12	1000	140.03747034650897	0.365	0.365
3 8	1000	140.03747034650897	0.29	0.29
14 2	1000	140.03747034650897	0.13	0.13
12 2	1000	140.03747034650897	0.525	0.525
2 14	1000	140.03747034650897	0.21	0.21
9 4	1000	140.03747034650897	0.39	0.39
13 3	1000	140.03747034650897	0.345	0.345
4 9	1000	140.03747034650897	0.51	0.51
4 12	1000	140.03747034650897	0.68	0.68
10 4	1000	140.03747034650897	0.3	0.3
4 10	1000	140.03747034650897	0.15	0.15
9 7	1000	140.03747034650897	0.58	0.58
7 10	1000	140.03747034650897	0.29	0.29
10 7	1000	140.03747034650897	0.1	0.1
7 13	1000	140.03747034650897	0.63	0.63
6 14	1000	140.03747034650897	0.35	0.35
11 6	1000	140.03747034650897	0.58	0.58
7 9	1000	140.03747034650897	0.365	0.365
14 6	1000	140.03747034650897	0.56	0.56
6 8	1000	140.03747034650897	0.5	0.5
12 5	1000	140.03747034650897	0.3	0.3
12 4	1000	140.03747034650897	0.44	0.44
8 6	1000	140.03747034650897	0.37	0.37
6 11	1000	140.03747034650897	0.61	0.61
5 11	1000	140.03747034650897	0.17	0.17
11 5	1000	140.03747034650897	0.24	0.24
5 12	1000	140.03747034650897	0.21	0.21
13 7	1000	140.03747034650897	0.6	0.6
10 11	1000	159.7013597664897	0.19	0.19
11 9	1000	159.7013597664897	0.43	0.43
2 12	1000	159.7013597664897	0.39	0.39
14 1	1000	159.7013597664897	0.35	0.35
13 1	1000	159.7013597664897	0.54	0.54
1 14	1000	159.7013597664897	0.3	0.3
11 10	1000	159.7013597664897	0.17	0.17
1 13	1000	159.7013597664897	0.47	0.47
2 1	1000	159.7013597664897	0.25	0.25
1 2	1000	159.7013597664897	0.25	0.25
9 11	1000	159.7013597664897	0.38	0.38
3 13	1000	159.7013597664897	0.39	0.39
12 3	1000	159.7013597664897	0.3	0.3
8 3	1000	159.7013597664897	0.39	0.39
3 12	1000	159.7013597664897	0.52	0.52
3 8	1000	159.7013597664897	0.39	0.39
14 2	1000	159.7013597664897	0.25	0.25
12 2	1000	159.7013597664897	0.56	0.56
2 14	1000	159.7013597664897	0.18	0.18
9 4	1000	159.7013597664897	0.48	0.48
13 3	1000	159.7013597664897	0.53	0.53
4 9	1000	159.7013597664897	0.35	0.35
4 12	1000	159.7013597664897	0.55	0.55
10 4	1000	159.7013597664897	0.12	0.12
4 10	1000	159.7013597664897	0.22	0.22
9 7	1000	159.7013597664897	0.48	0.48
7 10	1000	159.7013597664897	0.13	0.13
10 7	1000	159.7013597664897	0.14	0.14
7 13	1000	159.7013597664897	0.535	0.535
6 14	1000	159.7013597664897	0.49	0.49
11 6	1000	159.7013597664897	0.58	0.58
7 9	1000	159.7013597664897	0.385	0.385
14 6	1000	159.7013597664897	0.55	0.55
6 8	1000	159.7013597664897	0.39	0.39
12 5	1000	159.7013597664897	0.36	0.36
12 4	1000	159.7013597664897	0.5	0.5
8 6	1000	159.7013597664897	0.48	0.48
6 11	1000	159.7013597664897	0.78	0.78
5 11	1000	159.7013597664897	0.14	0.14
11 5	1000	159.7013597664897	0.34	0.34
5 12	1000	159.7013597664897	0.31	0.31
13 7	1000	159.7013597664897	0.45	0.45
10 11	1000	179.66682995663922	0.145	0.145
11 9	1000	179.66682995663922	0.325	0.325
2 12	1000	179.66682995663922	0.455	0.455
14 1	1000	179.66682995663922	0.25	0.25
13 1	1000	179.66682995663922	0.395	0.395
