03-10-2015 12-58-28
Blocking per SRC-DST nodes

S	D	T	Req	Blocked	U	SimTime
11	13	1	12	0	0	596.9400189158864
3	13	0	74	0	0	603.3681370570073
3	13	1	26	0	0	603.3681370570073
7	5	0	79	0	0	604.5315628277649
7	5	1	21	0	0	604.5315628277649
4	13	0	77	0	0	607.9261913068588
4	13	1	23	0	0	607.9261913068588
7	12	0	77	0	0	609.0598112172779
7	12	1	23	0	0	609.0598112172779
11	8	0	75	0	0	609.3368292844494
11	8	1	25	0	0	609.3368292844494
3	7	0	77	0	0	609.4544011551806
3	7	1	23	0	0	609.4544011551806
4	12	0	82	0	0	609.8396678130975
4	12	1	18	0	0	609.8396678130975
12	1	0	85	0	0	612.2898111731483
12	1	1	15	0	0	612.2898111731483
2	8	0	82	0	0	613.5359475968384
2	8	1	18	0	0	613.5359475968384
10	1	0	82	0	0	614.5086377388268
10	1	1	18	0	0	614.5086377388268
2	5	0	79	0	0	615.0223564965215
2	5	1	21	0	0	615.0223564965215
10	5	0	74	0	0	617.131192789796
10	5	1	26	0	0	617.131192789796
8	13	0	79	0	0	619.2766413164089
8	13	1	21	0	0	619.2766413164089
8	14	0	76	0	0	619.3164297190491
8	14	1	24	0	0	619.3164297190491
1	8	0	86	0	0	619.8573790646551
1	8	1	14	0	0	619.8573790646551
6	7	0	77	0	0	620.7762613477581
6	7	1	23	1	1	620.7762613477581
9	11	0	75	0	0	621.3945221779375
9	11	1	25	0	0	621.3945221779375
11	14	0	78	0	0	621.419208232051
11	14	1	22	1	1	621.419208232051
2	7	0	81	0	0	623.9600479981235
2	7	1	19	0	0	623.9600479981235
4	8	0	84	0	0	626.5105653308284
4	8	1	16	0	0	626.5105653308284
5	10	0	76	0	0	628.7733082483828
5	10	1	24	0	0	628.7733082483828
9	13	0	85	0	0	630.3206367460499
9	13	1	15	0	0	630.3206367460499
6	1	0	79	0	0	630.823071286724
6	1	1	21	0	0	630.823071286724
8	6	0	80	0	0	631.784459270431
8	6	1	20	0	0	631.784459270431
12	6	0	81	0	0	632.9713233324766
12	6	1	19	0	0	632.9713233324766
8	5	0	82	0	0	644.130306695944
8	5	1	18	2	2	644.130306695944
1	6	0	80	0	0	644.579976008146
1	6	1	20	0	0	644.579976008146
8	12	0	79	0	0	649.8173339973312
8	12	1	21	0	0	649.8173339973312
11	9	0	80	0	0	653.7529234074333
11	9	1	20	0	0	653.7529234074333
11	10	0	83	0	0	654.3556891607396
11	10	1	17	0	0	654.3556891607396
13	12	0	78	0	0	669.5511969957598
13	12	1	22	0	0	669.5511969957598
1	7	0	76	0	0	671.936159121259
1	7	1	24	0	0	671.936159121259
11	12	0	87	0	0	684.9495074662366
11	12	1	13	0	0	684.9495074662366
2	13	0	77	0	0	935.7323090299828
2	13	1	23	0	0	935.7323090299828
14	8	0	81	0	0	941.9329072605028
14	8	1	19	1	1	941.9329072605028
3	12	0	79	0	0	943.8946608439737
3	12	1	21	0	0	943.8946608439737
3	6	0	73	0	0	947.1360339546667
3	6	1	27	0	0	947.1360339546667
13	7	0	84	0	0	960.2048605430986
13	7	1	16	0	0	960.2048605430986
13	4	0	87	0	0	965.198495907676
13	4	1	13	1	1	965.198495907676
12	5	0	80	0	0	968.9637627237446
12	5	1	20	0	0	968.9637627237446
11	6	0	81	0	0	970.8539464085165
11	6	1	19	0	0	970.8539464085165
2	3	0	83	0	0	977.7442907204642
2	3	1	17	0	0	977.7442907204642
12	3	0	81	0	0	984.1828180014445
12	3	1	19	0	0	984.1828180014445
8	4	0	77	0	0	987.1442724159236
8	4	1	23	0	0	987.1442724159236
1	3	0	80	0	0	991.031727294742
1	3	1	20	0	0	991.031727294742
12	7	0	84	0	0	991.5131483319801
12	7	1	16	0	0	991.5131483319801
10	4	0	85	0	0	999.549594768318
10	4	1	15	0	0	999.549594768318
14	10	0	77	0	0	999.7222548710255
14	10	1	23	1	1	999.7222548710255
5	14	0	73	0	0	1002.4629725840057
5	14	1	27	2	2	1002.4629725840057
7	1	0	77	0	0	1002.840740862861
7	1	1	23	0	0	1002.840740862861
4	7	0	80	0	0	1006.2139956527844
4	7	1	20	0	0	1006.2139956527844
2	12	0	74	0	0	1007.2932581496725
2	12	1	26	0	0	1007.2932581496725
10	11	0	80	0	0	1007.3148805376245
10	11	1	20	0	0	1007.3148805376245
3	1	0	82	0	0	1010.79586691874
3	1	1	18	0	0	1010.79586691874
12	14	0	81	0	0	1011.4540777144261
12	14	1	19	0	0	1011.4540777144261
13	6	0	80	0	0	1012.2713653073386
13	6	1	20	0	0	1012.2713653073386
14	3	0	70	0	0	1012.4854846941643
14	3	1	30	0	0	1012.4854846941643
10	9	0	74	0	0	1013.0119564105363
10	9	1	26	0	0	1013.0119564105363
13	5	0	80	0	0	1013.1078772438875
13	5	1	20	0	0	1013.1078772438875
6	13	0	77	0	0	1013.5802380105188
6	13	1	23	0	0	1013.5802380105188
5	1	0	88	0	0	1015.4865931182215
5	1	1	12	0	0	1015.4865931182215
9	7	0	80	0	0	1020.9970956177954
9	7	1	20	0	0	1020.9970956177954
7	11	0	79	0	0	1021.5966081329993
7	11	1	21	0	0	1021.5966081329993
5	12	0	79	0	0	1024.4212545993662
5	12	1	21	0	0	1024.4212545993662
5	9	0	80	0	0	1027.0127777788337
5	9	1	20	0	0	1027.0127777788337
13	9	0	83	0	0	1028.583032520966
13	9	1	17	0	0	1028.583032520966
8	10	0	80	0	0	1029.3908524329347
8	10	1	20	0	0	1029.3908524329347
5	2	0	81	0	0	1029.9151834512604
5	2	1	19	0	0	1029.9151834512604
13	14	0	83	0	0	1031.287906860082
13	14	1	17	0	0	1031.287906860082
6	2	0	69	0	0	1031.5860277573047
6	2	1	31	0	0	1031.5860277573047
6	11	0	78	0	0	1031.9822086742245
6	11	1	22	2	2	1031.9822086742245
7	6	0	81	0	0	1033.949467498198
7	6	1	19	0	0	1033.949467498198
3	8	0	81	0	0	1037.5322536941837
3	8	1	19	0	0	1037.5322536941837
6	12	0	76	0	0	1037.6114714158848
6	12	1	24	1	1	1037.6114714158848
8	2	0	83	0	0	1038.6129405314055
8	2	1	17	0	0	1038.6129405314055
11	5	0	79	0	0	1038.8857890035747
11	5	1	21	0	0	1038.8857890035747
9	14	0	84	0	0	1039.184793919439
9	14	1	16	3	3	1039.184793919439
8	11	0	85	0	0	1040.3165184216289
